employee_id,department,experience_years,salary,performance_score,satisfaction_rating,projects_completed,overtime_hours,training_hours,attrition_risk
433,HR,1,63405.98,1.04,7.0,18,12.4,86,Medium
434,Marketing,14,74517.9,2.02,3.3,16,8.9,16,Low
435,HR,6,70561.75,2.04,7.1,5,8.4,64,Low
436,HR,5,50709.62,1.28,3.7,15,9.9,94,High
437,Sales,11,88005.63,4.84,7.5,23,21.5,94,Low
438,Marketing,4,106347.06,2.91,9.6,11,4.0,56,High
439,HR,13,69033.93,4.58,7.5,18,8.8,54,High
440,Engineering,11,118273.13,2.29,8.8,4,2.4,52,Medium
441,Engineering,3,43848.34,1.5,1.0,16,9.4,55,Medium
442,Finance,1,96087.27,2.9,7.5,25,2.3,97,Medium
443,Marketing,6,108430.4,1.46,8.5,22,1.7,8,High
444,Marketing,18,70919.39,2.94,1.4,25,2.6,21,Low
445,Finance,24,71278.87,4.68,8.8,28,12.8,12,Low
446,HR,10,95855.3,3.08,3.3,0,12.3,88,Medium
447,Marketing,5,85119.82,3.47,7.0,27,5.0,47,Low
448,Engineering,23,35051.77,1.63,8.2,26,5.4,17,Low
449,Engineering,10,,1.17,7.0,24,0.7,75,Low
450,Sales,12,74729.01,1.44,1.8,23,5.1,39,Medium
451,Marketing,2,47606.04,3.39,6.4,22,3.3,16,High
452,HR,13,65516.51,1.38,5.9,9,2.5,14,Low
453,Finance,8,48106.29,2.5,9.1,14,24.4,14,High
454,Finance,2,,3.2,4.6,22,8.5,78,Medium
455,HR,20,68267.55,2.55,3.9,20,6.0,62,Medium
456,Sales,1,82035.09,1.65,7.7,20,0.5,38,Medium
457,Finance,5,73164.81,2.1,4.7,10,13.2,12,Medium
458,Marketing,9,85055.79,4.71,6.8,12,21.7,80,Low
459,Sales,17,82670.88,3.7,6.8,4,7.7,31,Medium
460,Marketing,9,95626.8,2.98,9.0,0,10.0,8,Low
461,Engineering,11,92475.66,1.05,6.4,23,20.0,39,High
462,Sales,15,90362.48,4.97,5.5,11,8.1,19,High
463,Finance,24,137097.35,3.69,2.2,10,1.9,89,Low
464,Sales,6,81948.05,2.27,2.0,16,9.3,90,Low
465,Sales,23,126871.43,4.52,2.4,3,16.1,84,Medium
466,Sales,3,83244.37,2.03,2.5,14,5.0,81,Low
467,Sales,17,73342.98,3.18,6.7,24,7.6,76,High
468,Marketing,5,67536.7,3.54,,29,12.4,79,Low
469,Engineering,12,105194.52,1.88,5.8,8,3.1,72,Low
470,HR,18,107810.07,4.91,8.5,20,5.7,62,High
471,Sales,14,86995.68,3.99,9.9,19,2.4,75,Medium
472,Finance,21,97670.94,3.23,,18,7.0,43,Medium
473,Sales,24,49455.59,1.72,7.3,18,2.2,37,Low
474,Finance,11,44024.4,1.22,5.8,11,1.7,82,Medium
475,Marketing,9,99926.54,2.28,5.0,4,3.0,59,Medium
476,Finance,2,72463.77,4.01,1.8,9,10.2,70,Medium
477,HR,12,89986.05,2.08,4.6,16,11.9,98,Medium
478,Engineering,3,60654.24,3.16,9.2,4,3.1,47,Medium
479,Finance,3,108139.77,3.91,8.3,21,5.3,17,Low
480,Finance,1,44191.63,1.43,2.9,15,6.6,15,Low
481,Engineering,8,47288.3,3.74,5.2,6,2.6,54,Medium
482,HR,22,103886.23,1.37,8.4,27,4.6,38,Low
483,Sales,8,22803.16,4.86,1.6,8,26.0,67,Medium
484,Finance,11,82571.38,2.95,4.5,2,3.9,58,Low
485,Engineering,9,72853.48,1.6,8.7,14,16.7,88,Medium
486,Marketing,5,60280.96,2.37,4.6,15,13.0,95,Medium
487,Engineering,14,71001.2,2.65,1.7,17,7.2,61,Low
488,Marketing,3,58049.53,4.03,5.9,13,19.1,12,Low
489,HR,21,105845.12,3.97,8.8,2,8.0,80,Low
490,Sales,5,111089.94,3.45,6.3,11,8.1,5,Medium
491,Engineering,5,61285.25,1.42,3.0,8,4.6,82,Medium
492,Finance,19,80510.5,1.61,4.5,27,14.8,76,Low
493,HR,14,48498.47,1.38,,6,13.8,59,Medium
494,Engineering,4,96461.04,3.31,6.2,8,0.0,89,Low
495,Finance,13,95940.18,4.51,7.8,12,5.6,13,Low
496,Engineering,10,69094.76,2.74,1.9,17,3.4,94,High
497,Marketing,18,75337.7,1.64,,4,1.4,53,Low
498,Engineering,8,73124.69,3.23,1.1,12,4.5,3,Low
499,Engineering,8,42630.84,4.25,4.3,3,14.9,38,Low
500,Engineering,7,105920.08,3.97,1.2,1,1.3,71,Low
